id,title,original_title,release_date,original_language,overview,tagline,status,runtime,budget,revenue,popularity,vote_average,vote_count,adult,imdb_id,homepage,genres,production_companies,production_countries,spoken_languages
1084577,Balls Up,Balls Up,2026-04-15,en,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive.",,Released,104,0,0,214.6571,5.482,28,False,tt26735622,https://www.amazon.com/dp/B0GRCS8C45,"Comedy, Action, Adventure","Skydance Media, Reese Wernick Productions, Amazon MGM Studios",US,English
980431,"Avatar: Aang, The Last Airbender","Avatar: Aang, The Last Airbender",2026-04-12,en,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve.",,Post Production,99,0,0,216.3499,0.0,0,False,tt18259538,https://www.paramountpictures.com/movies/the-legend-of-aang-the-last-airbender,"Action, Adventure, Animation, Fantasy, Family","Nickelodeon Movies, Paramount Pictures, Flying Bark Productions, Studio Mir, Avatar Studios","US, KR, AU",English
687163,Project Hail Mary,Project Hail Mary,2026-03-15,en,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone.",Believe in the Hail Mary.,Released,157,200000000,510218578,271.2981,8.216,1456,False,tt12042730,https://www.amazon.com/salp/projecthailmary?hhf,"Science Fiction, Adventure","Lord Miller, Amazon MGM Studios, Pascal Pictures, Open Invite Entertainment, Waypoint Entertainment",US,"English, Mandarin, Russian"
1304313,Lee Cronin's The Mummy,Lee Cronin's The Mummy,2026-04-07,en,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare.",What happened to Katie?,Released,133,0,0,106.2044,7.559,34,False,tt32612507,https://www.warnerbros.com/movies/lee-cronins-mummy,"Horror, Mystery","Atomic Monster, Blumhouse Productions, New Line Cinema, Domain Entertainment, Wicked/Good",US,"English, Spanish, Tahitian"
1226863,The Super Mario Galaxy Movie,The Super Mario Galaxy Movie,2026-04-01,en,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",The galaxy awaits.,Released,98,110000000,628589780,689.6183,6.8,471,False,tt28650488,https://www.thesupermariogalaxymovie.com,"Family, Comedy, Adventure, Fantasy, Animation","Illumination, Universal Pictures, Nintendo","JP, US",English
680493,Return to Silent Hill,Return to Silent Hill,2026-01-21,en,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",Guilt is a place you can never leave.,Released,106,23000000,47372551,98.9158,5.0,336,False,tt22868010,https://returntosilenthillmovie.com,"Mystery, Drama, Horror","Konami, Davis Films, Ashland Hill Media Finance, Supernix, WIP, Richmond Pictures, Lipsync Productions, Electric Shadow Company","FR, JP, US, GB, DE","English, Polish, Portuguese, Spanish"
1290417,Thrash,Thrash,2026-04-10,en,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks.",If the flood doesn't kill you...,Released,84,0,0,245.8304,5.88,271,False,tt32362890,https://www.netflix.com/title/82650122,"Horror, Thriller","Sony Pictures, Hyperobject Industries","US, AU",English
1416391,Toaster,टोस्टर,2026-04-15,hi,Murder and chaos erupt when a miser becomes obsessed with a toaster he gave as a wedding gift.,,Released,126,0,0,36.0375,6.7,3,False,tt34498610,https://www.netflix.com/title/81779444,Comedy,Kampa Films,IN,Hindi
936075,Michael,Michael,2026-04-22,en,"Discover the story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music, tracing his journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career.",Discover the making of a king.,Released,127,170000000,0,46.3324,5.833,3,False,tt11378946,https://michael.movie,"Music, Drama","Lionsgate, GK Films, The Michael Jackson Company","GB, US",English
83533,Avatar: Fire and Ash,Avatar: Fire and Ash,2025-12-17,en,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",The world of Pandora will change forever.,Released,198,350000000,1485988186,326.8193,7.371,2599,False,tt1757678,https://www.avatar.com/movies/avatar-fire-and-ash,"Science Fiction, Adventure, Fantasy","20th Century Studios, Lightstorm Entertainment, TSG Entertainment",US,English
1325734,The Drama,The Drama,2026-03-26,en,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,Witness the wedding of the year.,Released,105,28000000,43219265,53.7692,7.1,393,False,tt33071426,https://a24films.com/films/the-drama,"Romance, Comedy, Drama","A24, Square Peg, Dilemma Films",US,English
1480387,undertone,undertone,2026-03-12,en,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,It wants to be heard.,Released,94,500000,19849179,59.9413,6.8,51,False,tt35892608,https://a24films.com/films/undertone,"Horror, Mystery","Black Fawn Films, Slaterverse Pictures, KINO Studios, Spooky Pictures, DimensionGate, Feel Everything Productions","CA, US",English
1266127,Ready or Not: Here I Come,Ready or Not: Here I Come,2026-03-19,en,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.",Double or nothing.,Released,108,14000000,37552874,76.3361,7.047,201,False,tt33978029,https://www.searchlightpictures.com/ready-or-not-2-here-i-come,"Horror, Comedy","Searchlight Pictures, Mythology Entertainment, Radio Silence, Big Indie Pictures",US,"Mandarin, English, Spanish"
1314481,The Devil Wears Prada 2,The Devil Wears Prada 2,2026-04-29,en,"Miranda Priestly navigates her career amid the decline of traditional magazine publishing. She faces off against Emily Charlton, her one-time assistant, now a high-powered executive for a luxury group, with advertising dollars that Priestly desperately needs.",Icons reign forever.,Post Production,119,0,0,25.3941,0.0,0,False,tt33612209,https://www.20thcenturystudios.com/movies/the-devil-wears-prada-2,"Comedy, Drama",20th Century Studios,US,English
1367642,Reminders of Him,Reminders of Him,2026-03-11,en,"When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance.",Everyone deserves a second chance.,Released,114,30000000,84168140,51.1615,7.039,114,False,tt33714084,https://www.universalpictures.com/movies/reminders-of-him,"Romance, Drama","Universal Pictures, Heartbones Entertainment, Little Engine Productions",US,English
696393,Cold Storage,Cold Storage,2026-01-22,en,"When a mutating, highly contagious fungus escapes a sealed facility, two employees – joined by a grizzled bioterror operative – must survive the wildest night shift ever to save humanity from extinction.","If it spreads, you're dead.",Released,99,10000000,3929970,17.1479,6.712,311,False,tt8879928,https://www.samuelgoldwynfilms.com/cold-storage,"Horror, Science Fiction, Comedy","Pariah, StudioCanal UK, StudioCanal","GB, US",English
